x      , v      , u      
0.78679, 0.21557, 0.21287
0.78779, 0.21456, 0.21187
0.78879, 0.21356, 0.21087
0.78979, 0.21255, 0.20987
0.79079, 0.21155, 0.20888
0.79179, 0.21054, 0.20788
0.79279, 0.20954, 0.20688
0.79379, 0.20853, 0.20589
0.79479, 0.20752, 0.20489
 0.7958, 0.20652, 0.20389
 0.7968, 0.20551, 0.20289
 0.7978, 0.20451,  0.2019
 0.7988,  0.2035,  0.2009
 0.7998,  0.2025,  0.1999
 0.8008, 0.20149,  0.1989
 0.8018, 0.20049, 0.19791
 0.8028, 0.19948, 0.19691
 0.8038, 0.19847, 0.19591
 0.8048, 0.19747, 0.19491
0.80581, 0.19646, 0.19391
0.80681, 0.19546, 0.19292
0.80781, 0.19445, 0.19192
0.80881, 0.19345, 0.19092
0.80981, 0.19244, 0.18992
0.81081, 0.19143, 0.18892
0.81181, 0.19043, 0.18793
0.81281, 0.18942, 0.18693
0.81381, 0.18842, 0.18593
0.81481, 0.18741, 0.18493
0.81582,  0.1864, 0.18393
0.81682,  0.1854, 0.18294
