x    , v    , u    
0.55956, 0.4413, 0.43675
0.56056, 0.44033, 0.43579
0.56156, 0.43935, 0.43482
0.56256, 0.43838, 0.43386
0.56356, 0.43741, 0.43289
0.56456, 0.43644, 0.43193
0.56557, 0.43546, 0.43096
0.56657, 0.43449,  0.43
0.56757, 0.43351, 0.42903
0.56857, 0.43254, 0.42806
0.56957, 0.43156, 0.4271
0.57057, 0.43059, 0.42613
0.57157, 0.42961, 0.42516
0.57257, 0.42864, 0.42419
0.57357, 0.42766, 0.42322
0.57457, 0.42668, 0.42226
0.57558, 0.4257, 0.42129
0.57658, 0.42473, 0.42032
0.57758, 0.42375, 0.41935
0.57858, 0.42277, 0.41838
0.57958, 0.42179, 0.41741
0.58058, 0.42081, 0.41644
0.58158, 0.41984, 0.41546
0.58258, 0.41886, 0.41449
0.58358, 0.41788, 0.41352
0.58458, 0.4169, 0.41255
0.58559, 0.41592, 0.41158
0.58659, 0.41494, 0.41061
0.58759, 0.41395, 0.40963
0.58859, 0.41297, 0.40866
0.58959, 0.41199, 0.40769
0.59059, 0.41101, 0.40671
0.59159, 0.41003, 0.40574
0.59259, 0.40905, 0.40476
0.59359, 0.40806, 0.40379
0.59459, 0.40708, 0.40282
0.5956, 0.4061, 0.40184
0.5966, 0.40512, 0.40087
0.5976, 0.40413, 0.39989
0.5986, 0.40315, 0.39891
0.5996, 0.40216, 0.39794
0.6006, 0.40118, 0.39696
0.6016, 0.4002, 0.39599
0.6026, 0.39921, 0.39501
0.6036, 0.39823, 0.39403
0.6046, 0.39724, 0.39306
0.60561, 0.39626, 0.39208
0.60661, 0.39527, 0.3911
0.60761, 0.39428, 0.39012
0.60861, 0.3933, 0.38914
0.60961, 0.39231, 0.38817
0.61061, 0.39132, 0.38719
0.61161, 0.39034, 0.38621
0.61261, 0.38935, 0.38523
0.61361, 0.38836, 0.38425
0.61461, 0.38738, 0.38327
0.61562, 0.38639, 0.38229
0.61662, 0.3854, 0.38131
0.61762, 0.38441, 0.38033
0.61862, 0.38342, 0.37935
0.61962, 0.38244, 0.37837
0.62062, 0.38145, 0.37739
0.62162, 0.38046, 0.37641
0.62262, 0.37947, 0.37543
0.62362, 0.37848, 0.37445
0.62462, 0.37749, 0.37347
0.62563, 0.3765, 0.37248
0.62663, 0.37551, 0.3715
0.62763, 0.37452, 0.37052
0.62863, 0.37353, 0.36954
0.62963, 0.37254, 0.36856
0.63063, 0.37155, 0.36757
0.63163, 0.37056, 0.36659
0.63263, 0.36957, 0.36561
0.63363, 0.36858, 0.36462
0.63463, 0.36759, 0.36364
0.63564, 0.36659, 0.36266
0.63664, 0.3656, 0.36167
0.63764, 0.36461, 0.36069
0.63864, 0.36362, 0.35971
0.63964, 0.36263, 0.35872
0.64064, 0.36163, 0.35774
0.64164, 0.36064, 0.35675
0.64264, 0.35965, 0.35577
0.64364, 0.35866, 0.35478
0.64464, 0.35766, 0.3538
0.64565, 0.35667, 0.35281
0.64665, 0.35568, 0.35183
0.64765, 0.35468, 0.35084
0.64865, 0.35369, 0.34986
0.64965, 0.35269, 0.34887
0.65065, 0.3517, 0.34789
0.65165, 0.35071, 0.3469
0.65265, 0.34971, 0.34591
0.65365, 0.34872, 0.34493
0.65465, 0.34772, 0.34394
0.65566, 0.34673, 0.34295
0.65666, 0.34573, 0.34197
0.65766, 0.34474, 0.34098
0.65866, 0.34374, 0.33999
0.65966, 0.34275, 0.33901
0.66066, 0.34175, 0.33802
0.66166, 0.34076, 0.33703
0.66266, 0.33976, 0.33604
0.66366, 0.33877, 0.33506
0.66466, 0.33777, 0.33407
0.66567, 0.33677, 0.33308
0.66667, 0.33578, 0.33209
0.66767, 0.33478, 0.3311
0.66867, 0.33378, 0.33011
0.66967, 0.33279, 0.32913
0.67067, 0.33179, 0.32814
0.67167, 0.33079, 0.32715
0.67267, 0.3298, 0.32616
0.67367, 0.3288, 0.32517
0.67467, 0.3278, 0.32418
0.67568, 0.32681, 0.32319
0.67668, 0.32581, 0.3222
0.67768, 0.32481, 0.32121
0.67868, 0.32381, 0.32022
0.67968, 0.32282, 0.31923
0.68068, 0.32182, 0.31824
0.68168, 0.32082, 0.31725
0.68268, 0.31982, 0.31626
0.68368, 0.31882, 0.31527
0.68468, 0.31783, 0.31428
0.68569, 0.31683, 0.31329
0.68669, 0.31583, 0.3123
0.68769, 0.31483, 0.31131
0.68869, 0.31383, 0.31032
