final_temp , Eaverage/L/L , Evariance/final_temp/final_temp , Mabsvariance/final_temp , Mabsvariance/L/L1
1, -1.08756, 281.909, 2.69374, 0.07296
1, -1.09112, 281.341, 2.68958, 0.07313
1, -1.09468, 280.763, 2.6854, 0.0733
1, -1.09816, 280.133, 2.6812, 0.07347
1, -1.10164, 279.493, 2.67698, 0.07364
1, -1.10516, 278.864, 2.67291, 0.07375
1, -1.1087, 278.235, 2.66947, 0.07383
1, -1.11224, 277.597, 2.66602, 0.07391
1, -1.11578, 276.948, 2.66286, 0.07398
1, -1.11928, 276.269, 2.6597, 0.07405
1, -1.1228, 275.59, 2.65577, 0.07415
1, -1.1263, 274.892, 2.65153, 0.07427
1, -1.12982, 274.193, 2.64805, 0.07435
1, -1.13332, 273.475, 2.6452, 0.07441
1, -1.13678, 272.727, 2.64463, 0.07442
1, -1.14028, 271.989, 2.64215, 0.07447
1, -1.14378, 271.242, 2.63896, 0.07454
1, -1.1473, 270.494, 2.6361, 0.0746
1, -1.15082, 269.736, 2.63552, 0.07461
1, -1.15434, 268.969, 2.63345, 0.07465
1, -1.15786, 268.191, 2.63096, 0.0747
1, -1.1614, 267.413, 2.62698, 0.0748
1, -1.16494, 266.626, 2.62449, 0.07485
1, -1.1685, 265.838, 2.62287, 0.07488
1, -1.17202, 265.02, 2.62176, 0.0749
1, -1.17552, 264.184, 2.62118, 0.07491
1, -1.17904, 263.347, 2.61956, 0.07494
1, -1.18256, 262.499, 2.61668, 0.075
1, -1.18606, 261.633, 2.6129, 0.07509
1, -1.18958, 260.767, 2.61081, 0.07513
1, -1.19314, 259.908, 2.60969, 0.07515
1, -1.1967, 259.04, 2.60857, 0.07517
1, -1.20026, 258.161, 2.60857, 0.07517
1, -1.20376, 257.246, 2.60423, 0.07529
1, -1.20724, 256.312, 2.60042, 0.07538
1, -1.2107, 255.36, 2.59661, 0.07547
1, -1.21422, 254.423, 2.59336, 0.07554
1, -1.21774, 253.477, 2.59046, 0.0756
1, -1.22126, 252.521, 2.58622, 0.07571
1, -1.22478, 251.555, 2.58164, 0.07587
1, -1.22828, 250.571, 2.57935, 0.07613
1, -1.23176, 249.569, 2.59119, 0.07657
1, -1.23524, 248.557, 2.60525, 0.07703
1, -1.23874, 247.543, 2.61794, 0.07748
1, -1.24226, 246.528, 2.62321, 0.07786
1, -1.24578, 245.503, 2.62665, 0.07822
1, -1.24928, 244.46, 2.62845, 0.07856
1, -1.25276, 243.399, 2.63944, 0.079
1, -1.25626, 242.336, 2.65774, 0.0795
1, -1.25976, 241.264, 2.66624, 0.07992
1, -1.26322, 240.166, 2.67358, 0.08033
1, -1.2666, 239.031, 2.67345, 0.08065
1, -1.27002, 237.9, 2.67609, 0.08101
1, -1.27346, 236.767, 2.67461, 0.08131
1, -1.27686, 235.611, 2.67306, 0.08161
1, -1.28026, 234.445, 2.67325, 0.08194
1, -1.28366, 233.27, 2.67212, 0.08225
1, -1.28714, 232.114, 2.67214, 0.08258
1, -1.29056, 230.927, 2.67673, 0.08297
1, -1.294, 229.737, 2.6795, 0.08334
1, -1.29746, 228.545, 2.68385, 0.08373
1, -1.30094, 227.35, 2.689, 0.08413
1, -1.30438, 226.132, 2.69142, 0.0845
1, -1.30784, 224.911, 2.69023, 0.08482
1, -1.31132, 223.687, 2.68574, 0.08507
1, -1.31486, 222.474, 2.68043, 0.08529
1, -1.3184, 221.252, 2.6749, 0.0855
1, -1.32192, 220.013, 2.6692, 0.0857
1, -1.32538, 218.743, 2.66361, 0.08591
1, -1.3289, 217.484, 2.65798, 0.08612
1, -1.3324, 216.208, 2.65231, 0.08633
1, -1.33596, 214.943, 2.64635, 0.08651
1, -1.33952, 213.668, 2.64078, 0.08673
1, -1.34308, 212.383, 2.63591, 0.08698
1, -1.34658, 211.067, 2.62998, 0.08718
1, -1.35012, 209.755, 2.62401, 0.08738
1, -1.35368, 208.439, 2.61794, 0.08757
1, -1.35724, 207.114, 2.61203, 0.08778
1, -1.3607, 205.746, 2.60608, 0.08799
1, -1.36422, 204.388, 2.6001, 0.0882
1, -1.36776, 203.026, 2.5939, 0.08839
1, -1.37132, 201.66, 2.58767, 0.08858
1, -1.37488, 200.284, 2.58153, 0.08873
1, -1.37842, 198.892, 2.57529, 0.08889
1, -1.38196, 197.489, 2.56963, 0.08901
1, -1.38552, 196.083, 2.56562, 0.08908
1, -1.38906, 194.661, 2.5602, 0.08919
1, -1.39254, 193.211, 2.55577, 0.08927
1, -1.39606, 191.763, 2.55133, 0.08935
1, -1.39958, 190.304, 2.54689, 0.08943
1, -1.4031, 188.836, 2.54244, 0.08951
1, -1.40662, 187.358, 2.53728, 0.08961
1, -1.4101, 185.859, 2.53211, 0.08971
1, -1.4136, 184.356, 2.52597, 0.08985
1, -1.41706, 182.833, 2.52022, 0.08997
1, -1.42054, 181.305, 2.51502, 0.09007
1, -1.424, 179.763, 2.50981, 0.09017
1, -1.42744, 178.206, 2.50493, 0.09026
1, -1.43088, 176.639, 2.49971, 0.09036
1, -1.4344, 175.083, 2.49448, 0.09046
1, -1.43788, 173.507, 2.48893, 0.09057
1, -1.44134, 171.916, 2.48311, 0.09069
1, -1.4448, 170.316, 2.47858, 0.09077
1, -1.44824, 168.702, 2.47301, 0.09088
1, -1.45168, 167.079, 2.47042, 0.09092
1, -1.45518, 165.459, 2.46905, 0.09094
1, -1.45868, 163.83, 2.46704, 0.09097
1, -1.46218, 162.19, 2.4639, 0.09102
1, -1.46568, 160.541, 2.4619, 0.09105
1, -1.46918, 158.883, 2.4593, 0.09109
1, -1.47266, 157.21, 2.45401, 0.09119
1, -1.47616, 155.531, 2.4479, 0.09132
1, -1.47968, 153.848, 2.44228, 0.09143
1, -1.48322, 152.158, 2.43615, 0.09156
1, -1.48672, 150.451, 2.42946, 0.09173
1, -1.49018, 148.725, 2.42285, 0.09194
1, -1.49368, 146.997, 2.4167, 0.09218
1, -1.49718, 145.26, 2.4117, 0.09246
1, -1.50062, 143.502, 2.40747, 0.09276
1, -1.50404, 141.731, 2.40417, 0.09308
1, -1.50748, 139.954, 2.40394, 0.09345
1, -1.51092, 138.167, 2.40222, 0.0938
1, -1.51444, 136.386, 2.39725, 0.09409
1, -1.51796, 134.594, 2.40084, 0.09451
1, -1.52148, 132.793, 2.4043, 0.09493
1, -1.525, 130.981, 2.40855, 0.09536
1, -1.52848, 129.153, 2.40695, 0.09572
1, -1.532, 127.322, 2.40525, 0.09608
