t, rx, ry, rz
2.575965, 1.3162071, -0.4750301, 0
2.5787024, 1.3209024, -0.46134492, 0
2.5814399, 1.3254557, -0.44760846, 0
2.5841774, 1.3298662, -0.43382216, 0
2.5869149, 1.3341336, -0.4199875, 0
2.5896523, 1.3382572, -0.40610595, 0
2.5923898, 1.3422366, -0.39217899, 0
2.5951273, 1.3460712, -0.37820811, 0
2.5978648, 1.3497606, -0.36419479, 0
2.6006022, 1.3533043, -0.35014055, 0
2.6033397, 1.3567019, -0.33604687, 0
2.6060772, 1.3599529, -0.32191526, 0
2.6088147, 1.3630569, -0.30774725, 0
2.6115521, 1.3660135, -0.29354435, 0
2.6142896, 1.3688224, -0.27930808, 0
2.6170271, 1.371483, -0.26503997, 0
2.6197646, 1.3739951, -0.25074155, 0
2.6225021, 1.3763584, -0.23641437, 0
2.6252395, 1.3785725, -0.22205996, 0
2.627977, 1.3806371, -0.20767986, 0
2.6307145, 1.3825518, -0.19327564, 0
2.633452, 1.3843165, -0.17884885, 0
2.6361894, 1.3859309, -0.16440103, 0
2.6389269, 1.3873946, -0.14993376, 0
2.6416644, 1.3887075, -0.1354486, 0
2.6444019, 1.3898694, -0.12094712, 0
2.6471393, 1.3908801, -0.10643088, 0
2.6498768, 1.3917393, -0.091901468, 0
2.6526143, 1.3924469, -0.077360456, 0
2.6553518, 1.3930028, -0.062809423, 0
2.6580892, 1.3934068, -0.048249952, 0
2.6608267, 1.3936588, -0.033683628, 0
2.6635642, 1.3937587, -0.019112037, 0
2.6663017, 1.3937064, -0.0045367675, 0
2.6690391, 1.3935019, 0.010040589, 0
2.6717766, 1.3931451, 0.024618442, 0
2.6745141, 1.3926359, 0.039195197, 0
2.6772516, 1.3919744, 0.05376926, 0
2.6799891, 1.3911605, 0.068339034, 0
2.6827265, 1.3901942, 0.082902924, 0
2.685464, 1.3890757, 0.097459332, 0
2.6882015, 1.3878049, 0.11200666, 0
2.690939, 1.3863819, 0.12654331, 0
2.6936764, 1.3848067, 0.14106768, 0
2.6964139, 1.3830796, 0.15557818, 0
2.6991514, 1.3812006, 0.1700732, 0
2.7018889, 1.3791698, 0.18455115, 0
