rx , ry , rz
0.722022 , -0.700554 , 0
0.733724 , -0.688131 , 0
0.745213 , -0.675509 , 0
0.756487 , -0.662691 , 0
0.767541 , -0.649682 , 0
0.778373 , -0.636484 , 0
0.788979 , -0.623102 , 0
0.799356 , -0.609538 , 0
0.809502 , -0.595798 , 0
0.819412 , -0.581886 , 0
0.829085 , -0.567804 , 0
0.838517 , -0.553557 , 0
0.847705 , -0.539149 , 0
0.856646 , -0.524585 , 0
0.865339 , -0.509868 , 0
0.87378 , -0.495003 , 0
0.881967 , -0.479994 , 0
0.889897 , -0.464845 , 0
0.897568 , -0.449561 , 0
0.904977 , -0.434146 , 0
0.912123 , -0.418604 , 0
0.919002 , -0.40294 , 0
0.925614 , -0.387159 , 0
0.931956 , -0.371264 , 0
0.938025 , -0.355262 , 0
0.943821 , -0.339155 , 0
0.94934 , -0.32295 , 0
0.954583 , -0.30665 , 0
0.959546 , -0.29026 , 0
0.964228 , -0.273786 , 0
0.968629 , -0.257231 , 0
0.972746 , -0.240601 , 0
0.976577 , -0.223901 , 0
0.980123 , -0.207135 , 0
0.983381 , -0.190308 , 0
0.986351 , -0.173426 , 0
0.989032 , -0.156492 , 0
0.991422 , -0.139513 , 0
0.993521 , -0.122492 , 0
0.995328 , -0.105436 , 0
0.996843 , -0.0883489 , 0
0.998065 , -0.0712356 , 0
0.998993 , -0.0541014 , 0
0.999627 , -0.0369512 , 0
0.999966 , -0.0197902 , 0
1.00001 , -0.00262333 , 0
0.999761 , 0.0145443 , 0
0.999217 , 0.0317077 , 0
0.998378 , 0.0488616 , 0
0.997244 , 0.0660012 , 0
0.995816 , 0.0831213 , 0
0.994094 , 0.100217 , 0
0.992078 , 0.117283 , 0
0.989768 , 0.134314 , 0
0.987166 , 0.151306 , 0
0.984272 , 0.168252 , 0
0.981087 , 0.185149 , 0
0.977611 , 0.201991 , 0
0.973845 , 0.218774 , 0
0.969791 , 0.235491 , 0
0.965449 , 0.252139 , 0
0.960821 , 0.268712 , 0
0.955908 , 0.285205 , 0
0.950711 , 0.301613 , 0
0.945231 , 0.317932 , 0
0.939471 , 0.334156 , 0
0.933431 , 0.350281 , 0
0.927114 , 0.366302 , 0
0.920521 , 0.382214 , 0
0.913654 , 0.398012 , 0
0.906515 , 0.413692 , 0
0.899106 , 0.429248 , 0
0.891429 , 0.444677 , 0
0.883486 , 0.459973 , 0
0.87528 , 0.475131 , 0
0.866813 , 0.490148 , 0
0.858087 , 0.505019 , 0
0.849104 , 0.519739 , 0
0.839869 , 0.534304 , 0
0.830382 , 0.548709 , 0
0.820647 , 0.56295 , 0
0.810666 , 0.577022 , 0
0.800443 , 0.590922 , 0
0.789981 , 0.604646 , 0
0.779282 , 0.618188 , 0
0.76835 , 0.631545 , 0
0.757187 , 0.644713 , 0
0.745798 , 0.657688 , 0
0.734185 , 0.670465 , 0
0.722352 , 0.683042 , 0
0.710302 , 0.695414 , 0
0.69804 , 0.707577 , 0
0.685567 , 0.719528 , 0
0.672889 , 0.731262 , 0
0.660009 , 0.742777 , 0
0.64693 , 0.754069 , 0
0.633658 , 0.765135 , 0
0.620194 , 0.77597 , 0
0.606544 , 0.786572 , 0
0.592712 , 0.796938 , 0
0.578702 , 0.807063 , 0
0.564517 , 0.816946 , 0
0.550163 , 0.826583 , 0
0.535642 , 0.835972 , 0
0.520961 , 0.845108 , 0
0.506123 , 0.85399 , 0
0.491132 , 0.862615 , 0
0.475993 , 0.870979 , 0
0.460711 , 0.879082 , 0
0.445289 , 0.886919 , 0
0.429734 , 0.894489 , 0
0.414049 , 0.901789 , 0
0.398239 , 0.908817 , 0
0.382309 , 0.915571 , 0
0.366264 , 0.922048 , 0
0.350108 , 0.928248 , 0
0.333846 , 0.934167 , 0
0.317484 , 0.939804 , 0
0.301025 , 0.945158 , 0
0.284476 , 0.950226 , 0
0.267841 , 0.955007 , 0
0.251125 , 0.9595 , 0
0.234333 , 0.963703 , 0
0.217471 , 0.967614 , 0
0.200543 , 0.971234 , 0
0.183554 , 0.97456 , 0
0.166509 , 0.977591 , 0
0.149415 , 0.980327 , 0
0.132275 , 0.982767 , 0
0.115095 , 0.984909 , 0
0.0978804 , 0.986754 , 0
0.0806362 , 0.988301 , 0
0.0633676 , 0.989549 , 0
0.0460799 , 0.990498 , 0
0.0287783 , 0.991147 , 0
0.0114679 , 0.991497 , 0
-0.0058459 , 0.991547 , 0
-0.0231579 , 0.991298 , 0
-0.040463 , 0.990748 , 0
-0.0577558 , 0.989899 , 0
-0.0750312 , 0.988751 , 0
-0.0922838 , 0.987304 , 0
-0.109509 , 0.985559 , 0
-0.1267 , 0.983516 , 0
-0.143854 , 0.981176 , 0
-0.160964 , 0.978539 , 0
-0.178025 , 0.975606 , 0
-0.195032 , 0.972378 , 0
-0.211981 , 0.968857 , 0
-0.228865 , 0.965043 , 0
-0.245681 , 0.960938 , 0
-0.262422 , 0.956542 , 0
-0.279084 , 0.951858 , 0
-0.295662 , 0.946886 , 0
